,nx,ny,n,v,e,g,tau,ok,q
1,0,-1,1.0,6.628833149245534,3.1373678467464092,13.912057524161042,64.56028762080521,False,0.266950296643284
2,0,1,1.0,6.628833149245534,3.1373678467464092,13.912057524161048,64.56028762080524,False,0.266950296643284
6,1,0,1.0,4.331332548020278,1.6237674844132872,14.852369489073554,69.26184744536778,False,0.266950296643284
5,1,-1,1.4142135623730951,1.1698931054889352,0.23723923336386926,2.7012094839273795,8.506047419636896,True,0.3775247299924531
7,1,1,1.4142135623730951,1.297498254904408,0.17443004633185377,1.7593427080686115,3.7967135403430574,True,0.3775247299924531
0,0,-2,2.0,0.6872783778673244,0.10198033087946275,2.2203063267051504,6.101531633525752,True,0.533900593286568
3,0,2,2.0,0.6872783778673244,0.10198033087946275,2.2203063267051504,6.101531633525752,True,0.533900593286568
11,2,0,2.0,0.6039294274039743,0.09579541084095139,2.6865443094650185,8.432721547325093,True,0.533900593286568
4,1,-2,2.23606797749979,0.5833946447705136,0.1125982706815235,2.79222242778461,8.96111213892305,True,0.596919009908117
8,1,2,2.23606797749979,0.5901103247401313,0.12204844030994418,3.0037896036922707,10.018948018461353,True,0.596919009908117
10,2,-1,2.23606797749979,0.5653689101500524,0.06997414768448111,1.3795886586103951,1.8979432930519757,True,0.596919009908117
12,2,1,2.23606797749979,0.4834818465062397,0.0760741565554696,1.9077304259934376,4.538652129967188,True,0.596919009908117
9,2,-2,2.8284271247461903,0.4557882084510772,0.1264438748391084,5.402729089897846,22.013645449489232,False,0.7550494599849062
13,2,2,2.8284271247461903,0.5272007401191268,0.1151825413520323,4.39599860919635,16.97999304598175,False,0.7550494599849062
