# Time-averaged data for fix fix_eqn_baro
# TimeStep c_C_press_baro c_C_press_baro[1] c_C_press_baro[2] c_C_press_baro[3] c_C_press_baro[4] c_C_press_baro[5] c_C_press_baro[6] c_C_temp_tran
0 -15336.9 -25987.4 -10010.6 -10012.6 7.35216e-12 4.41844e-12 1.33843e-12 0
100 -1558.55 -6928.21 705.333 1547.23 81.9131 108.866 286.137 0.647222
200 1381.17 -1667.34 2876.67 2934.18 22.0995 265.309 -154.114 0.835434
300 -867.978 -3812.06 154.034 1054.09 17.5856 -80.6874 407.606 0.889542
400 -1808.97 -5099.17 57.9877 -385.741 -201.831 -534.856 401.998 0.92059
500 -1972.65 -5937.65 161.852 -142.16 95.4573 540.582 -180.406 0.937089
600 -2220.74 -5691.17 -37.4458 -933.6 264.505 -966.36 -109.713 0.964457
700 -1980.38 -5318.01 -201.238 -421.879 81.1834 302.143 144.897 0.982063
800 -1645.15 -4620.29 -172.108 -143.044 -436.99 -189.801 -205.245 0.980931
900 -1835.65 -4991.71 -220.103 -295.152 123.615 -181.182 263.017 0.957676
1000 -1964.81 -5672.9 -451.218 229.68 -416.648 -310.654 -439.152 0.945877
1100 -1921.64 -6072.73 173.404 134.398 -608.829 328.081 -173.673 0.96721
1200 -1754.12 -4887.91 6.08516 -380.55 -73.196 -120.072 -176.687 0.96192
1300 -1415.96 -5069.5 333.115 488.503 741.301 -181.901 -380.069 0.978504
1400 -1749.95 -4965.59 255.185 -539.453 -507.812 -46.0438 -383.075 0.954568
1500 -1660.24 -5655.24 2.04708 672.482 -196.382 250.055 -174.212 0.97533
1600 -1876.5 -5356.87 -458.605 185.984 496.514 -401.882 -49.9724 0.962116
1700 -1814.11 -5377.7 -135.719 71.082 -386.722 9.44276 204.319 0.994124
1800 -1567.23 -4559 -254.909 112.212 543.272 228.616 68.8875 0.982206
1900 -1312.97 -4520.91 232.117 349.872 46.1996 634.574 31.4693 0.977148
2000 -1175.46 -4327.9 354.987 446.514 -615.046 143.133 61.1887 0.986198
2100 -1459.75 -4565.87 321.485 -134.853 164.464 -368.06 247.895 0.974609
2200 -1861.06 -5356.9 -86.6726 -139.614 -422.25 -223.755 514.386 0.975489
2300 -1820.12 -5065.09 -345.117 -50.1572 -11.2532 -108.115 296.787 0.999004
2400 -1661.9 -4584.53 3.09506 -404.259 415.634 -25.7196 253.918 0.983683
2500 -1748.39 -4916.33 -105.202 -223.653 -749.802 844.436 -152.755 1.00607
2600 -1893.91 -5260.41 -212.864 -208.464 422.253 -405.969 74.9191 1.00403
2700 -1788.54 -5219.15 -106.561 -39.913 513.57 -232.489 -584.554 0.990994
2800 -1709.41 -5101.86 -292.833 266.463 -457.34 623.305 64.1356 0.984003
2900 -1687.6 -5045.42 254.559 -271.931 565.163 -174.278 -326.952 1.00599
3000 -1616.8 -4678.11 84.0639 -256.343 -378.009 100.018 -73.6265 0.994947
3100 -1938.31 -5219.59 -251.096 -344.235 24.7699 -780.283 -442.133 0.969761
3200 -1708.79 -4968.55 53.0866 -210.904 341.862 118.989 -55.3569 1.00218
3300 -1616.63 -4990.69 -12.9214 153.734 -35.1245 -61.3296 599.401 0.991513
3400 -1614.49 -4724.95 -28.6993 -89.832 -136.17 -341.535 -780.282 1.0108
3500 -1331.06 -4228.6 76.8831 158.554 -204.392 94.5566 619.272 0.98946
3600 -1724.8 -5341.15 309.915 -143.158 198.18 459.04 158.142 1.01192
3700 -1557.73 -4763.49 18.4141 71.8701 -271.345 365.329 -287.651 0.989804
3800 -1901.8 -5632.27 -34.4636 -38.654 -31.1468 -364.584 444.194 0.982048
3900 -1812.84 -5455.66 679.381 -662.258 51.4286 -84.6036 -690.723 1.00159
4000 -1594.11 -5016.87 260.448 -25.9118 -537.405 357.838 107.875 0.99188
4100 -1584.91 -5554.95 676.014 124.207 454.861 -1012.15 475.287 1.00929
4200 -1541.59 -4837.6 370.573 -157.734 -335.311 -384.368 -119.898 0.974648
4300 -1581.31 -4750.93 -71.3997 78.3888 -786.352 1054.07 -796.772 1.00517
4400 -1846.76 -5838.07 -103.867 401.641 851.366 -706.05 -41.1028 0.989854
4500 -1886.14 -5005.65 -80.7265 -572.042 -677.271 -396.437 516.146 1.01235
4600 -1750.61 -4633.56 -555.83 -62.4337 -211.609 302.173 -39.7062 1.00588
4700 -1514.89 -4657.24 286.795 -174.217 198.963 1137.33 65.1177 1.02539
4800 -1981.8 -5461.25 -70.8078 -413.338 424.981 -519.401 214.606 0.979744
4900 -2093.17 -5528.3 -169.8 -581.399 37.6941 -300.791 311 0.997338
5000 -2277.64 -5865.27 -445.061 -522.598 -650.601 456.571 84.7122 1.00717
5100 -1930.49 -5489.15 -386.578 84.2691 311.596 -708.615 -303.755 1.00654
5200 -1571.76 -4868.04 166.093 -13.3348 703.057 -10.8364 496.518 1.00106
5300 -1506.99 -4638.71 186.529 -68.7893 -520.079 179.113 8.64589 1.00167
5400 -1558.36 -4618.93 -78.0698 21.9362 -505.865 -72.6604 -302.173 0.987039
5500 -1528 -4243.44 -533.768 193.214 -116.083 -335.437 49.3373 0.989902
5600 -1820.89 -5188.85 -494.664 220.833 100.179 -37.4684 -187.623 0.975874
5700 -1464.24 -5130.93 438.123 300.081 -451.795 -195.802 78.1917 1.00634
5800 -1543.75 -4857.43 -159.772 385.952 406.276 -177.501 -83.6581 0.991897
5900 -1585.91 -4309.02 -253.228 -195.492 20.6504 225.837 -285.435 0.988127
6000 -1390.25 -4358 -205.195 392.449 -384.37 -684.514 8.96961 0.986312
6100 -1654.96 -4761.93 -436.547 233.592 -94.9795 23.3991 283.485 1.00715
6200 -2094.55 -5254.36 -422.657 -606.63 215.728 326.026 -34.2647 0.989738
6300 -1937.79 -5147.57 -393.291 -272.499 595.436 -764.668 -394.261 1.00111
6400 -1593.53 -5027.16 210.96 35.6202 179.905 -228.408 19.973 1.00542
6500 -1715.71 -4714.96 -439.348 7.18724 540.255 77.9211 541.807 1.00124
6600 -1283.13 -4780.73 908.641 22.692 618.426 203.927 -341.2 0.988765
6700 -1765.57 -5204.14 -486.375 393.81 -537.388 78.0499 -509.98 1.00639
6800 -1626.59 -4582.6 53.4887 -350.645 -878.76 -773.079 787.171 0.996052
6900 -1618.75 -5026.93 263.176 -92.4866 323.161 271.289 298.146 0.999298
7000 -1359.9 -4347.74 -91.1283 359.184 248.143 -74.0018 -449.887 0.990867
7100 -1635.04 -4930 17.4893 7.38398 146.438 492.215 115.536 0.98727
7200 -1669.36 -5104.72 171.608 -74.9579 49.8517 -205.27 237.055 0.971948
7300 -1491.23 -4167.39 -501.62 195.316 -197.883 -74.9991 96.8504 1.00671
7400 -1702.46 -5225.9 184.884 -66.3604 570.835 975.958 -187.533 0.993247
7500 -1645.68 -4849.3 -221.334 133.578 -754.722 -233.911 122.018 1.00063
7600 -1458.56 -4125.24 -172.441 -77.998 212.943 -90.557 307.836 0.994536
7700 -1578.31 -4699.45 -75.4626 39.9671 -89.2399 -60.4811 -73.3087 0.997235
7800 -1645.16 -4911.76 -409.001 385.289 -723.882 -574.52 19.6485 0.992718
7900 -1619.33 -4812.24 14.2317 -59.991 390.138 577.238 183.63 1.01418
8000 -1287.94 -4587.83 205.525 518.475 -226.126 261.874 -101.211 1.02363
8100 -1811.99 -5145.61 -138.415 -151.944 -263.137 -241.681 -486.909 0.988005
8200 -1769.27 -4920.88 -466.443 79.5057 606.446 -112.021 350.025 1.0041
8300 -1435.44 -4662.33 -85.1187 441.143 433.964 238.076 -372.775 1.01806
8400 -1608.06 -5177.18 146.371 206.632 -439.897 120.569 213.591 0.999942
8500 -1629.27 -4505.09 -318.477 -64.238 247.545 -372.33 20.4214 1.00846
8600 -1667.24 -4567.74 -740.9 306.922 -348.761 544.102 -97.2287 1.01025
8700 -1341.18 -4531.34 545.197 -37.4047 -108.376 -360.717 309.915 1.00893
8800 -995.515 -4135.75 393.565 755.644 236.395 -57.261 194.217 0.993765
8900 -1559.79 -4434.8 267.47 -512.033 -538.127 448.165 -52.2116 0.997058
9000 -1663.38 -4888.64 -154.951 53.4572 261.127 109.542 679.99 0.994294
9100 -1750.42 -5433.5 -238.943 421.18 183.808 4.38756 160.532 0.987831
9200 -1691.2 -4702.31 -172.587 -198.686 -327.848 187.093 170.801 0.991148
9300 -1737.62 -4887.45 -468.952 143.525 288.847 -804.578 181.886 0.994861
9400 -1035.32 -4055.04 405.747 543.343 -140.847 -214.733 -39.1161 1.0001
9500 -1126.69 -3888.75 65.1194 443.55 -317.109 -84.8933 -60.4589 1.01328
9600 -1383.97 -4269.36 63.2251 54.2134 1.17422 270.825 389.691 1.00629
9700 -1404.96 -4439.65 380.752 -155.979 -41.8676 -239.908 144.399 1.01112
9800 -1886.37 -5616.07 -490.675 447.649 178.994 -306.178 125.616 0.989259
9900 -1867.54 -5330.48 -120.344 -151.795 -197.226 423.782 219.984 1.00388
10000 -1584.2 -5059.55 -468.655 775.602 -348.647 -461.585 632.528 0.994129
10100 -1771.94 -4873.57 -358.042 -84.1953 365.471 -10.1609 150.018 0.997998
10200 -1804.92 -5032.34 -565.535 183.124 -468.84 453.025 -15.4994 0.982628
10300 -1547.42 -4612.21 -6.21127 -23.8521 203.511 -519.745 700.526 1.00546
10400 -1637.67 -5105.36 -357.483 549.82 462.567 34.0057 -287.576 0.993098
10500 -1928.15 -5480.66 114.26 -418.035 633.401 -273.615 -235.515 1.00058
10600 -2233.58 -5701.26 -605.552 -393.911 -615.961 354.519 499.088 0.985938
10700 -1654.14 -5131.3 -116.551 285.433 134.532 -74.2357 -311.389 0.988368
10800 -1458.61 -4367.31 -13.7639 5.23487 -296.264 81.8827 -287.112 1.0328
10900 -1626.64 -4664.5 240.454 -455.874 -730.243 5.32698 246.748 0.994828
11000 -1910.86 -5334.38 -242.949 -155.266 881.626 -254.805 3.24627 1.00195
11100 -1561.17 -4589.92 -198.791 105.188 551.615 -71.1185 -13.9786 0.991083
11200 -1900.84 -5144.88 -347.022 -210.616 -121.981 370.42 -84.5148 0.990784
11300 -1547.68 -4753.14 -10.4936 120.603 384.104 7.29251 -319.139 1.00333
11400 -1630.07 -4597.86 -111.059 -181.297 -344.09 -471.864 56.0737 1.00721
11500 -1762.54 -5053.4 -672.804 438.585 195.619 85.2299 -195.203 0.992819
11600 -1552.4 -4738.61 -51.8976 133.307 222.039 -433.353 385.203 0.994076
11700 -1496.03 -5027.63 -139.059 678.612 231.25 811.331 -110.448 1.01422
11800 -1659.01 -4445.59 -382.564 -148.874 -278.764 -257.066 134.438 0.984784
11900 -1342.1 -4417.44 164.897 226.232 143.857 -299.475 -215.281 1.00677
12000 -1396.96 -4733.2 317.211 225.115 -129.616 -8.16976 -488.592 0.99121
12100 -1463.25 -4741.93 247.239 104.938 239.406 -319.264 373.283 0.993252
12200 -1759.54 -5185.65 275.92 -368.888 389.057 41.45 -162.112 0.979565
12300 -1884.05 -5327.66 -474.558 150.067 261.832 -358.374 407.253 1.00269
12400 -1961.11 -5523.43 -91.0108 -268.895 518.033 793.646 808.96 1.00116
12500 -1951.3 -4572.26 -793.928 -487.726 -505.932 -402.495 -395.193 0.988478
12600 -1833.49 -4852.82 -536.362 -111.288 -743.238 -446.965 -57.3477 0.989988
12700 -2039.28 -5480.97 -61.774 -575.089 -88.9782 609.334 -267.404 0.996524
12800 -1658.01 -5049.22 -61.822 137.025 -111.836 -145.018 -22.682 0.977023
12900 -1488.69 -4911.09 543.162 -98.1382 342.069 272.63 -18.4177 1.00891
13000 -1597.55 -4662.79 -210.968 81.1247 105.932 3.05212 -5.06334 1.01343
13100 -1685.81 -5412.31 453.638 -98.7496 24.484 -286.256 27.9698 0.990546
13200 -1948.76 -4993.61 -828.303 -24.3573 455.11 -72.7122 208.641 0.974823
13300 -1544.51 -5024.75 286.898 104.331 -275.272 -114.838 287.146 0.996007
13400 -1727.27 -4817.69 299.828 -663.955 98.1895 -548.842 -485.794 0.980702
13500 -1551.84 -5021.56 175.139 190.905 310.9 -372.331 -118.015 0.994839
13600 -1595.15 -4926.4 216.151 -75.2177 -228.49 -177.735 307.096 0.984039
13700 -1275.77 -4251.13 47.3957 376.409 -139.141 41.7992 -581.034 1.00003
13800 -1195.26 -3924.63 410.163 -71.3246 323 -155.016 359.179 1.01508
13900 -1620.27 -4480.5 -14.5124 -365.798 -316.318 -114.413 -336.134 1.01364
14000 -1768.32 -5029.33 -154.706 -120.909 283.926 46.1121 -317.434 0.995946
14100 -1814.76 -4772.13 -265.39 -406.771 -501.565 11.4031 475.376 1.00099
14200 -1493.25 -4151.68 -161.733 -166.338 6.75452 327.644 -522.819 1.00029
14300 -1401.84 -4609.62 156.766 247.326 327.553 -189.657 243.018 0.979551
14400 -1510.82 -4654.9 -49.2755 171.723 -259.377 -615.217 49.013 1.00543
14500 -1985.99 -5267.22 -216.299 -474.443 160.155 160.884 59.9273 0.976998
14600 -1863.56 -5219.53 76.1242 -447.26 -153.834 -360.232 451.872 0.992049
14700 -1907.94 -5009.29 -401.568 -312.971 106.612 -143.828 -423.54 0.993338
14800 -1791.06 -5299.4 241.638 -315.408 -649.016 -425.005 -30.2927 1.00852
14900 -1769.52 -5344.27 620.916 -585.221 247.731 -154.791 532.489 1.00688
15000 -1771.76 -5357.48 112.434 -70.2375 -1.64217 168.825 -163.545 1.00017
15100 -1888.79 -5184.38 -279.181 -202.828 -453.326 319.747 147.99 0.992857
15200 -1712.24 -4746.05 -161.375 -229.304 208.503 412.444 19.4956 0.987674
15300 -1681.01 -5110.46 0.358654 67.0851 -217.158 -793.256 -270.973 1.00493
15400 -1266.37 -4642.3 167.953 675.242 -257.724 -164.273 -263.2 1.01977
15500 -1804.92 -4717.27 -492.639 -204.868 225.881 639.548 64.6329 0.990225
15600 -1551.1 -5020.14 377.703 -10.8559 224.328 170.267 210.267 1.00746
15700 -1289.14 -4202.33 81.9298 252.969 190.358 -1043.96 126.033 1.00768
15800 -1559.51 -4415.62 -52.2602 -210.64 -196.605 506.601 -26.3664 1.00574
15900 -1774.91 -5047.97 -554.804 278.031 -311.474 -438.273 214.139 0.997723
16000 -1868.66 -4688.43 -227.634 -689.914 -138.856 -178.738 -527.354 0.980339
16100 -1772.01 -5471.11 -34.0571 189.133 167.536 -185.529 727.607 0.991413
16200 -2003.01 -5293.6 -313.968 -401.458 162.241 271.267 -437.589 0.994251
16300 -1812.91 -5007.56 -319.22 -111.96 -255.03 292.427 168.103 1.00173
16400 -1548.99 -4985.3 566.252 -227.931 131.541 68.5092 57.1019 1.00832
16500 -1752.61 -4993.99 -248.003 -15.8277 -106.803 -144.242 -44.4097 1.01162
16600 -1735.85 -4883.69 -183.418 -140.451 -576.021 177.732 358.361 0.990695
16700 -1661.7 -4645.95 -162.543 -176.618 -147.212 -233.692 -259.931 0.998052
16800 -1823.87 -5455.77 -48.024 32.1963 -593.463 271.244 804.988 0.974916
16900 -1349.47 -5094.26 809.84 236.006 255.739 290.944 -1024.55 1.01511
17000 -1048.88 -4320.11 429.863 743.62 -3.54244 -795.891 727.96 1.02157
17100 -1454.49 -4644.22 28.8117 251.944 213.47 127.701 -333.22 0.99916
17200 -1463.2 -5024.21 360.647 273.965 138.988 276.565 -111.388 0.98142
17300 -1653.96 -4890.59 13.866 -85.1458 182.467 -209.261 -62.8461 1.00809
17400 -2157.29 -5565.13 -413.276 -493.468 -101.503 34.062 376.707 0.99755
17500 -1780.75 -5352.43 -378.225 388.396 -246.425 258.542 -369.616 1.01706
17600 -1547.67 -5051.89 49.4268 359.449 -520.702 -127.055 18.7265 1.01809
17700 -1826.33 -5099.08 -515.273 135.358 420.344 -19.1099 233.879 1.01343
17800 -1800.47 -5002.4 -500.569 101.556 42.2674 498.295 -67.8943 1.00508
17900 -1541.72 -4156.51 -376.806 -91.8429 -805.026 -785.823 -33.7578 0.996816
18000 -1650.99 -4548.36 -484.564 79.9457 356.181 590.004 192.788 1.01569
18100 -1669.15 -4755.47 24.7382 -276.729 445.715 -224.974 113.998 1.00114
18200 -1858.31 -5339.99 -66.4927 -168.433 -56.9123 -291.589 166.987 0.995427
18300 -1747.28 -5247.61 151.827 -146.039 -373.489 505.546 -401.769 0.988428
18400 -1397.55 -5106.71 550.576 363.479 418.85 -70.9336 135.349 1.0072
18500 -1803.57 -4765.45 -699.821 54.5618 -304.126 -396.151 -79.8696 1.00992
18600 -1593.06 -5069.29 141.954 148.17 -525.571 285.425 139.537 1.00605
18700 -1378.93 -4594.95 -82.4816 540.631 -347.684 -186.434 -73.4984 0.99756
18800 -1029.25 -3881.17 569.359 224.055 -1.47465 -8.11015 37.5437 0.9957
18900 -1449.38 -4431.37 -222.876 306.118 49.6931 -20.9428 -369.615 1.002
19000 -1825.07 -5049.09 -410.542 -15.5737 -32.4836 -440.532 -215.871 0.992976
19100 -1978.22 -5277.45 -399.681 -257.521 -142.604 332.083 392.447 0.995897
19200 -1744.58 -5484 449.448 -199.178 -76.2287 359.972 171.181 1.03011
19300 -1512.47 -4597.81 -512.451 572.864 -99.4113 658.218 -47.7623 1.01375
19400 -1518.5 -5004.04 338.037 110.505 598.108 -113.615 109.452 0.990848
19500 -1582.13 -4729.77 -605.194 588.592 250.507 -314.293 -323.812 0.998732
19600 -2009.36 -5260.3 -350.586 -417.182 -515.381 -47.079 -232.435 0.984844
19700 -1592.43 -5144.4 217.24 149.88 -209.356 38.555 -415.594 1.02114
19800 -1713.06 -5269 11.5591 118.257 381.637 -602.005 482.122 1.00489
19900 -1650.15 -5243.81 -52.005 345.371 -73.7092 154.63 55.2099 1.00653
20000 -1932.67 -5393.07 -333.588 -71.3464 -186.615 301.831 48.3794 0.996188
20100 -1134.63 -3990.37 215.191 371.28 650.195 -214.258 -80.1012 1.01742
20200 -1281.57 -4422.07 639.898 -62.5384 -853.967 -284.205 312.096 1.00435
20300 -1426.81 -4717.39 508.063 -71.097 629.741 -37.858 -55.1802 0.999016
20400 -1754.57 -5208.24 -62.6662 7.19923 228.473 -169.987 157.15 1.00675
20500 -1867.1 -5131.84 -350.558 -118.911 38.8284 108.41 84.1636 1.00297
20600 -1855.43 -4886.52 120.569 -800.332 14.5513 169.329 -353.966 0.99676
20700 -1380.03 -4899.44 93.8585 665.489 68.6896 -662.154 -65.9784 0.986335
20800 -1652.16 -5059.13 107.347 -4.68883 -58.3482 346.481 76.4586 0.990429
20900 -1931.64 -5147.89 167.207 -814.234 -13.5974 -722.988 -452.247 1.00455
21000 -1830.08 -4512.3 -726.469 -251.481 233.137 354.88 118.039 1.00855
21100 -1469.86 -4582.53 213.939 -40.9942 438.998 160.006 468.96 1.01089
21200 -1544.24 -4908.39 -132.278 407.948 19.0601 -63.3246 -101.999 1.00296
